province,district,palika,sex,breakdown,sector,value
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,20 - 24,2.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,25 - 29,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,30 - 34,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,35 - 39,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,40 - 44,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Social work/volunteer,45 - 49,0.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,Total No. of children born alive in last 12 months,357.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,15 - 19,6.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,20 - 24,42.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,25 - 29,59.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,30 - 34,58.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,35 - 39,55.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,40 - 44,70.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Other,45 - 49,67.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Not Stated,Total No. of children born alive in last 12 months,65.0
LUMBINI,Rukum (East),Bhoome Gaunpalika,,Not Stated,15 - 19,1.0
