province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,Total No. of children born alive in last 12 months,5.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,15 - 19,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,20 - 24,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,25 - 29,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,30 - 34,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,35 - 39,2.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,40 - 44,0.0,301,3,30104
BAGMATI,Dolakha,Gaurishankar Gaunpalika,,Not Stated,45 - 49,3.0,301,3,30104
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,Total No. of children born alive in last 12 months,2022.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,15 - 19,40.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,20 - 24,193.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,25 - 29,336.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,30 - 34,305.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,35 - 39,363.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,40 - 44,422.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Total,45 - 49,363.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,Total No. of children born alive in last 12 months,7.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,15 - 19,1.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,20 - 24,1.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,25 - 29,5.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,30 - 34,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,35 - 39,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,40 - 44,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Student,45 - 49,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,Total No. of children born alive in last 12 months,1469.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,15 - 19,25.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,20 - 24,131.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,25 - 29,210.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,30 - 34,243.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,35 - 39,267.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,40 - 44,334.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Household chores,45 - 49,259.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,Total No. of children born alive in last 12 months,252.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,15 - 19,8.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,20 - 24,36.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,25 - 29,78.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,30 - 34,24.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,35 - 39,35.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,40 - 44,36.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Family care,45 - 49,35.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,Total No. of children born alive in last 12 months,19.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,15 - 19,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,20 - 24,2.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,25 - 29,4.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,30 - 34,2.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,35 - 39,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,40 - 44,5.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Disable/sickness,45 - 49,6.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,Total No. of children born alive in last 12 months,10.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,15 - 19,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,20 - 24,1.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,25 - 29,0.0,301,3,30103
BAGMATI,Dolakha,Bigu Gaunpalika,,Penson / income,30 - 34,3.0,301,3,30103
