Area (level 1),Area (level 2),Area (level 3),Age group in years,Indicator,Value
KOSHI,Taplejung,Meringden Gaunpalika,All Ages,Population - Female,5979
KOSHI,Taplejung,Meringden Gaunpalika,00-04 Yrs.,Population - Total,1054
KOSHI,Taplejung,Meringden Gaunpalika,00-04 Yrs.,Population - Male,530
KOSHI,Taplejung,Meringden Gaunpalika,00-04 Yrs.,Population - Female,524
KOSHI,Taplejung,Meringden Gaunpalika,05-09 Yrs.,Population - Total,1194
KOSHI,Taplejung,Meringden Gaunpalika,05-09 Yrs.,Population - Male,577
KOSHI,Taplejung,Meringden Gaunpalika,05-09 Yrs.,Population - Female,617
KOSHI,Taplejung,Meringden Gaunpalika,10-14 Yrs.,Population - Total,1216
KOSHI,Taplejung,Meringden Gaunpalika,10-14 Yrs.,Population - Male,585
KOSHI,Taplejung,Meringden Gaunpalika,10-14 Yrs.,Population - Female,631
KOSHI,Taplejung,Meringden Gaunpalika,15-19 Yrs.,Population - Total,1397
KOSHI,Taplejung,Meringden Gaunpalika,15-19 Yrs.,Population - Male,688
KOSHI,Taplejung,Meringden Gaunpalika,15-19 Yrs.,Population - Female,709
KOSHI,Taplejung,Meringden Gaunpalika,20-24 Yrs.,Population - Total,1235
KOSHI,Taplejung,Meringden Gaunpalika,20-24 Yrs.,Population - Male,623
KOSHI,Taplejung,Meringden Gaunpalika,20-24 Yrs.,Population - Female,612
KOSHI,Taplejung,Meringden Gaunpalika,25-29 Yrs.,Population - Total,1033
KOSHI,Taplejung,Meringden Gaunpalika,25-29 Yrs.,Population - Male,543
KOSHI,Taplejung,Meringden Gaunpalika,25-29 Yrs.,Population - Female,490
KOSHI,Taplejung,Meringden Gaunpalika,30-34 Yrs.,Population - Total,728
KOSHI,Taplejung,Meringden Gaunpalika,30-34 Yrs.,Population - Male,370
KOSHI,Taplejung,Meringden Gaunpalika,30-34 Yrs.,Population - Female,358
KOSHI,Taplejung,Meringden Gaunpalika,35-39 Yrs.,Population - Total,632
KOSHI,Taplejung,Meringden Gaunpalika,35-39 Yrs.,Population - Male,300
