Area (level 1),Area (level 2),Area (level 3),sex,Indicator,Value
KOSHI,Sunsari,Koshi Gaunpalika,Male,Total,24358
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Household head,7366
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Husband/ Wife,391
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,12905
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,44
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Father/ Mother,361
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,59
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Brother/ Sister,370
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,2689
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Other Relative,135
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Domestic Helper,7
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Not Related,31
KOSHI,Sunsari,Koshi Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Koshi Gaunpalika,Female,Total,24446
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Household head,1803
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Husband/ Wife,7043
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,2880
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,8898
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Father/ Mother,882
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,124
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Brother/ Sister,207
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,2323
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Other Relative,279
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Not Related,6
KOSHI,Sunsari,Koshi Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Total,49280
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Household head,8932
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Husband/ Wife,7121
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,15722
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,8358
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Father/ Mother,1551
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,220
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Brother/ Sister,762
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,6043
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Other Relative,555
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Domestic Helper,3
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Not Related,13
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Total,24293
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Household head,7146
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Husband/ Wife,301
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,12433
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,79
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Father/ Mother,489
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,65
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Brother/ Sister,510
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,3107
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Other Relative,152
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Domestic Helper,2
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Not Related,9
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Total,24987
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Household head,1786
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Husband/ Wife,6820
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,3289
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,8279
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Father/ Mother,1062
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,155
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Brother/ Sister,252
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,2936
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Other Relative,403
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Domestic Helper,1
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Not Related,4
KOSHI,Sunsari,Bhokraha Narsingh Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Ramdhuni Municipality,Total,Total,63452
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Household head,15644
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Husband/ Wife,11099
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Son / Daughter in Law,17468
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Daughter/ Son in Law,9573
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Father/ Mother,1893
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,852
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Brother/ Sister,623
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,5382
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Other Relative,762
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Domestic Helper,53
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Not Related,103
KOSHI,Sunsari,Ramdhuni Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Ramdhuni Municipality,Male,Total,29820
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Household head,10092
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Husband/ Wife,1697
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Son / Daughter in Law,13540
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Daughter/ Son in Law,76
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Father/ Mother,570
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,291
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Brother/ Sister,356
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,2790
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Other Relative,289
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Domestic Helper,40
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Not Related,79
KOSHI,Sunsari,Ramdhuni Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Ramdhuni Municipality,Female,Total,33632
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Household head,5552
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Husband/ Wife,9402
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Son / Daughter in Law,3928
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Daughter/ Son in Law,9497
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Father/ Mother,1323
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,561
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Brother/ Sister,267
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,2592
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Other Relative,473
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Domestic Helper,13
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Not Related,24
KOSHI,Sunsari,Ramdhuni Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Total,197241
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Household head,50350
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Husband/ Wife,34362
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Son / Daughter in Law,51649
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Daughter/ Son in Law,31203
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Father/ Mother,5662
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Father in Law/ Mother in Law,2215
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Brother/ Sister,3580
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Grand Son/ Grand Daugher,13869
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Other Relative,3700
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Domestic Helper,135
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Not Related,516
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Total,93290
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Household head,29584
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Husband/ Wife,7549
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Son / Daughter in Law,42144
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Daughter/ Son in Law,309
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Father/ Mother,1740
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Father in Law/ Mother in Law,727
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Brother/ Sister,1928
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Grand Son/ Grand Daugher,7253
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Other Relative,1607
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Domestic Helper,75
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Not Related,374
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Total,103951
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Household head,20766
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Husband/ Wife,26813
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Son / Daughter in Law,9505
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Daughter/ Son in Law,30894
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Father/ Mother,3922
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Father in Law/ Mother in Law,1488
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Brother/ Sister,1652
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Grand Son/ Grand Daugher,6616
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Other Relative,2093
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Domestic Helper,60
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Not Related,142
KOSHI,Sunsari,Itahari Sub-Metropolitian City,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Duhabi Municipality,Total,Total,66074
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Household head,15030
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Husband/ Wife,11914
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Son / Daughter in Law,18528
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Daughter/ Son in Law,10373
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Father/ Mother,2272
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,547
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Brother/ Sister,996
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,5333
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Other Relative,746
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Domestic Helper,44
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Not Related,291
KOSHI,Sunsari,Duhabi Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Duhabi Municipality,Male,Total,32797
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Household head,11089
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Husband/ Wife,1748
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Son / Daughter in Law,14940
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Daughter/ Son in Law,142
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Father/ Mother,725
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,204
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Brother/ Sister,602
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,2764
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Other Relative,288
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Domestic Helper,26
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Not Related,269
KOSHI,Sunsari,Duhabi Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Duhabi Municipality,Female,Total,33277
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Household head,3941
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Husband/ Wife,10166
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Son / Daughter in Law,3588
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Daughter/ Son in Law,10231
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Father/ Mother,1547
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,343
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Brother/ Sister,394
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,2569
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Other Relative,458
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Domestic Helper,18
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Not Related,22
KOSHI,Sunsari,Duhabi Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Total,38739
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Household head,8565
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Husband/ Wife,7135
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,11142
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,5972
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Father/ Mother,1405
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,348
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Brother/ Sister,467
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,3347
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Other Relative,331
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Domestic Helper,2
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Not Related,25
KOSHI,Sunsari,Gadhi Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Total,19096
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Household head,6482
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Husband/ Wife,964
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,8798
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,59
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Father/ Mother,505
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,139
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Brother/ Sister,293
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,1742
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Other Relative,95
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Domestic Helper,0
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Not Related,19
KOSHI,Sunsari,Gadhi Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Total,19643
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Household head,2083
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Husband/ Wife,6171
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,2344
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,5913
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Father/ Mother,900
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,209
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Brother/ Sister,174
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,1605
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Other Relative,236
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Domestic Helper,2
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Not Related,6
KOSHI,Sunsari,Gadhi Gaunpalika,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Inaruwa Municipality,Total,Total,74914
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Household head,16029
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Husband/ Wife,12564
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Son / Daughter in Law,22298
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Daughter/ Son in Law,11529
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Father/ Mother,2322
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Father in Law/ Mother in Law,573
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Brother/ Sister,960
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Grand Son/ Grand Daugher,7701
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Other Relative,816
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Domestic Helper,30
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Not Related,92
KOSHI,Sunsari,Inaruwa Municipality,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Inaruwa Municipality,Male,Total,36689
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Household head,11655
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Husband/ Wife,1543
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Son / Daughter in Law,17371
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Daughter/ Son in Law,110
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Father/ Mother,691
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Father in Law/ Mother in Law,181
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Brother/ Sister,611
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Grand Son/ Grand Daugher,4132
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Other Relative,296
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Domestic Helper,21
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Not Related,78
KOSHI,Sunsari,Inaruwa Municipality,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Inaruwa Municipality,Female,Total,38225
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Household head,4374
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Husband/ Wife,11021
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Son / Daughter in Law,4927
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Daughter/ Son in Law,11419
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Father/ Mother,1631
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Father in Law/ Mother in Law,392
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Brother/ Sister,349
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Grand Son/ Grand Daugher,3569
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Other Relative,520
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Domestic Helper,9
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Not Related,14
KOSHI,Sunsari,Inaruwa Municipality,Female,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Total,49845
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Household head,8738
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Husband/ Wife,7024
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Son / Daughter in Law,16273
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Daughter/ Son in Law,8623
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Father/ Mother,1401
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Father in Law/ Mother in Law,223
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Brother/ Sister,670
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Grand Son/ Grand Daugher,6386
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Other Relative,492
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Domestic Helper,5
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Not Related,10
KOSHI,Sunsari,Harinagar Gaunpalika,Total,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Total,24567
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Household head,7029
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Husband/ Wife,311
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Son / Daughter in Law,12771
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Daughter/ Son in Law,45
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Father/ Mother,444
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Father in Law/ Mother in Law,65
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Brother/ Sister,437
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Grand Son/ Grand Daugher,3315
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Other Relative,139
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Domestic Helper,3
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Not Related,8
KOSHI,Sunsari,Harinagar Gaunpalika,Male,Relation of  household head - Not Stated,0
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Total,25278
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Household head,1709
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Husband/ Wife,6713
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Son / Daughter in Law,3502
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Daughter/ Son in Law,8578
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Father/ Mother,957
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Father in Law/ Mother in Law,158
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Brother/ Sister,233
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Grand Son/ Grand Daugher,3071
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Other Relative,353
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Domestic Helper,2
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Not Related,2
KOSHI,Sunsari,Harinagar Gaunpalika,Female,Relation of  household head - Not Stated,0
