province,district,palika,sex,breakdown,sector,value,district_code,province_code,palika_code
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,1 Child,45 - 49,8.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,Total ever married female,378.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,15 - 19,4.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,20 - 24,132.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,25 - 29,98.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,30 - 34,50.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,35 - 39,40.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,40 - 44,31.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,2 Children,45 - 49,23.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,Total ever married female,383.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,15 - 19,1.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,20 - 24,26.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,25 - 29,76.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,30 - 34,86.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,35 - 39,84.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,40 - 44,62.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,3 Children,45 - 49,48.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,Total ever married female,269.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,15 - 19,0.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,20 - 24,3.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,25 - 29,9.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,30 - 34,57.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,35 - 39,74.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,40 - 44,67.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,4 Children,45 - 49,59.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,Total ever married female,162.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,15 - 19,0.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,20 - 24,0.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,25 - 29,3.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,30 - 34,24.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,35 - 39,52.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,40 - 44,38.0,701,7,70104
SUDURPASCHIM,Bajura,Gaumul Gaunpalika,,5 Children,45 - 49,45.0,701,7,70104
